method,p,rep,threshold_pct,n_full,n_sample,rho,rho_tilde,time_total_s,dataset,part
BoxPlot,0.1,3,0.1,240,24,0.5,0.7980238751210129,0.001171887037344277,vertebral,A
BoxPlot,0.1,4,0.1,240,24,0.15384615384615385,0.6595051082089965,0.0011410430306568742,vertebral,A
BoxPlot,0.1,5,0.1,240,24,0.5,0.5410519780170145,0.0013059150660410523,vertebral,A
BoxPlot,0.1,6,0.1,240,24,0.5,0.7063774289747291,0.0012063999893143773,vertebral,A
BoxPlot,0.1,7,0.1,240,24,0.5,0.5613766893123635,0.0011964699951931834,vertebral,A
BoxPlot,0.1,8,0.1,240,24,0.15384615384615385,0.7223151185146153,0.0012858459958806634,vertebral,A
BoxPlot,0.1,9,0.1,240,24,1.0,0.8828289014497336,0.0011650060769170523,vertebral,A
BoxPlot,0.1,10,0.1,240,24,0.15384615384615385,0.7223151185146153,0.001159635023213923,vertebral,A
BoxPlot,0.1,11,0.1,240,24,0.15384615384615385,0.7223151185146153,0.0016410540556535125,vertebral,A
BoxPlot,0.1,12,0.1,240,24,0.15384615384615385,0.3942663926154919,0.0013652269262820482,vertebral,A
BoxPlot,0.1,13,0.1,240,24,1.0,0.8851582653058013,0.0011635520495474339,vertebral,A
BoxPlot,0.1,14,0.1,240,24,0.5,0.8043985903638537,0.0011557710822671652,vertebral,A
BoxPlot,0.1,15,0.1,240,24,0.5,0.575612566921185,0.0011714129941537976,vertebral,A
BoxPlot,0.1,16,0.1,240,24,1.0,0.675303252441909,0.0011451059253886342,vertebral,A
BoxPlot,0.1,17,0.1,240,24,0.15384615384615385,0.6026258331144146,0.0011879800586029887,vertebral,A
BoxPlot,0.1,18,0.1,240,24,1.0,0.8342976876265135,0.001150186057202518,vertebral,A
BoxPlot,0.1,19,0.1,240,24,1.0,1.0,0.0011517669772729278,vertebral,A
BoxPlot,0.1,20,0.1,240,24,0.5,0.45274102079395084,0.001150849973782897,vertebral,A
BoxPlot,0.1,21,0.1,240,24,0.0,-0.15318788335166178,0.0011936569353565574,vertebral,A
BoxPlot,0.1,22,0.1,240,24,1.0,0.5767708152447926,0.0012193259317427874,vertebral,A
BoxPlot,0.1,23,0.1,240,24,0.0,0.3201558234181138,0.0011651350650936365,vertebral,A
BoxPlot,0.1,24,0.1,240,24,0.5,0.3580067582064623,0.0014378229388967156,vertebral,A
BoxPlot,0.1,25,0.1,240,24,0.15384615384615385,-0.06281001030561872,0.0011829000432044268,vertebral,A
BoxPlot,0.1,26,0.1,240,24,0.5,0.5,0.001147754956036806,vertebral,A
BoxPlot,0.1,27,0.1,240,24,0.5,0.4484536082474227,0.0011409809812903404,vertebral,A
BoxPlot,0.1,28,0.1,240,24,1.0,1.0,0.0011385229881852865,vertebral,A
BoxPlot,0.1,29,0.1,240,24,0.0,0.8176067134798324,0.001152312965132296,vertebral,A
BoxPlot,0.1,30,0.1,240,24,0.5,0.7980238751210129,0.001154436031356454,vertebral,A
BoxPlot,0.1,31,0.1,240,24,0.15384615384615385,0.4029501403302944,0.0011531399795785546,vertebral,A
BoxPlot,0.1,32,0.1,240,24,1.0,1.0,0.001150705968029797,vertebral,A
BoxPlot,0.1,33,0.1,240,24,0.5,0.9069016881010612,0.0011387669946998358,vertebral,A
BoxPlot,0.1,34,0.1,240,24,0.15384615384615385,0.6026258331144146,0.0011531279888004065,vertebral,A
BoxPlot,0.1,35,0.1,240,24,1.0,1.0,0.0011433290783315897,vertebral,A
BoxPlot,0.1,36,0.1,240,24,1.0,0.600658684817648,0.001140058971941471,vertebral,A
BoxPlot,0.1,37,0.1,240,24,1.0,1.0,0.0011405900586396456,vertebral,A
BoxPlot,0.1,38,0.1,240,24,1.0,0.996219281663516,0.0013642249396070838,vertebral,A
BoxPlot,0.1,39,0.1,240,24,0.15384615384615385,-0.06281001030561872,0.0011755810119211674,vertebral,A
BoxPlot,0.1,40,0.1,240,24,0.15384615384615385,0.7223151185146153,0.0011466670548543334,vertebral,A
BoxPlot,0.1,41,0.1,240,24,0.15384615384615385,0.4877817488208827,0.0011462538968771696,vertebral,A
BoxPlot,0.1,42,0.1,240,24,1.0,0.753656383088486,0.0011416649213060737,vertebral,A
BoxPlot,0.1,43,0.1,240,24,1.0,0.7356934882800045,0.0011586130131036043,vertebral,A
BoxPlot,0.1,44,0.1,240,24,0.15384615384615385,0.5334192370680184,0.0011172740487381816,vertebral,A
BoxPlot,0.1,45,0.1,240,24,1.0,1.0,0.0011217290302738547,vertebral,A
BoxPlot,0.1,46,0.1,240,24,1.0,0.8342976876265136,0.001115733990445733,vertebral,A
BoxPlot,0.1,47,0.1,240,24,0.15384615384615385,,0.0006072069518268108,vertebral,A
BoxPlot,0.1,48,0.1,240,24,0.15384615384615385,0.6026258331144145,0.0012113340198993683,vertebral,A
BoxPlot,0.1,49,0.1,240,24,1.0,-0.04347826086956522,0.001186580047942698,vertebral,A
MAD,0.1,0,0.1,240,24,0.5,0.9208695652173912,0.0010202479315921664,vertebral,A
MAD,0.1,1,0.1,240,24,1.0,0.9443478260869566,0.0009162970818579197,vertebral,A
MAD,0.1,2,0.1,240,24,1.0,0.8643478260869566,0.0008920170366764069,vertebral,A
MAD,0.1,3,0.1,240,24,0.5,0.5382608695652172,0.0009025048930197954,vertebral,A
MAD,0.1,4,0.1,240,24,0.5,0.8443478260869565,0.0008806189289316535,vertebral,A
MAD,0.1,5,0.1,240,24,0.5,0.9052173913043478,0.0009372789645567536,vertebral,A
MAD,0.1,6,0.1,240,24,0.5,0.877391304347826,0.0009122769115492702,vertebral,A
MAD,0.1,7,0.1,240,24,1.0,0.9382608695652173,0.0008955089142546058,vertebral,A
MAD,0.1,8,0.1,240,24,1.0,0.9773913043478261,0.0008900720858946443,vertebral,A
MAD,0.1,9,0.1,240,24,1.0,0.9426086956521739,0.0008891059551388025,vertebral,A
MAD,0.1,10,0.1,240,24,1.0,0.6382608695652173,0.0008911420591175556,vertebral,A
MAD,0.1,11,0.1,240,24,0.5,0.9095652173913044,0.000898933969438076,vertebral,A
MAD,0.1,12,0.1,240,24,0.5,0.868695652173913,0.0008887799922376871,vertebral,A
MAD,0.1,13,0.1,240,24,0.5,0.686086956521739,0.0008885499555617571,vertebral,A
MAD,0.1,14,0.1,240,24,0.5,0.9486956521739129,0.0009044170146808028,vertebral,A
MAD,0.1,15,0.1,240,24,0.5,0.9234782608695651,0.0009367159800603986,vertebral,A
MAD,0.1,16,0.1,240,24,1.0,0.9269565217391305,0.0008934920188039541,vertebral,A
MAD,0.1,17,0.1,240,24,1.0,0.8643478260869566,0.0008979560807347298,vertebral,A
MAD,0.1,18,0.1,240,24,1.0,0.8434782608695651,0.0008974740048870444,vertebral,A
MAD,0.1,19,0.1,240,24,0.5,0.7530434782608695,0.0008876430802047253,vertebral,A
MAD,0.1,20,0.1,240,24,0.0,0.6686956521739129,0.0008893420454114676,vertebral,A
MAD,0.1,21,0.1,240,24,0.0,0.7321739130434782,0.0008927129674702883,vertebral,A
MAD,0.1,22,0.1,240,24,1.0,0.8426086956521738,0.0008862930117174983,vertebral,A
MAD,0.1,23,0.1,240,24,0.0,0.7452173913043478,0.0010710940696299076,vertebral,A
MAD,0.1,24,0.1,240,24,1.0,0.8678260869565216,0.0008918079547584057,vertebral,A
MAD,0.1,25,0.1,240,24,0.0,0.8104347826086956,0.00089681101962924,vertebral,A
MAD,0.1,26,0.1,240,24,0.5,0.8026086956521737,0.0008815471082925797,vertebral,A
MAD,0.1,27,0.1,240,24,0.5,0.7947826086956521,0.0008825530530884862,vertebral,A
MAD,0.1,28,0.1,240,24,1.0,0.7747826086956522,0.0008881608955562115,vertebral,A
MAD,0.1,29,0.1,240,24,0.0,0.9660869565217389,0.0008767790859565139,vertebral,A
MAD,0.1,30,0.1,240,24,0.5,0.9634782608695651,0.0008811309235170484,vertebral,A
MAD,0.1,31,0.1,240,24,0.5,0.7823440063178698,0.0008823090465739369,vertebral,A
MAD,0.1,32,0.1,240,24,1.0,0.9069565217391303,0.0008853999897837639,vertebral,A
MAD,0.1,33,0.1,240,24,0.5,0.9860869565217389,0.000882450956851244,vertebral,A
MAD,0.1,34,0.1,240,24,0.5,0.6034782608695652,0.0008819460636004806,vertebral,A
MAD,0.1,35,0.1,240,24,1.0,0.9086956521739129,0.0009003579616546631,vertebral,A
MAD,0.1,36,0.1,240,24,1.0,0.9267232226033243,0.000896733021363616,vertebral,A
MAD,0.1,37,0.1,240,24,0.5,0.9713043478260868,0.0008804200915619731,vertebral,A
MAD,0.1,38,0.1,240,24,1.0,0.9556521739130434,0.0008913109777495265,vertebral,A
MAD,0.1,39,0.1,240,24,0.0,0.917391304347826,0.0008807150879874825,vertebral,A
MAD,0.1,40,0.1,240,24,1.0,0.9817391304347826,0.0008782120421528816,vertebral,A
MAD,0.1,41,0.1,240,24,0.5,0.9686956521739128,0.0008823999669402838,vertebral,A
MAD,0.1,42,0.1,240,24,0.5,0.9399999999999998,0.0008831990417093039,vertebral,A
MAD,0.1,43,0.1,240,24,1.0,0.9382608695652173,0.0008904970018193126,vertebral,A
MAD,0.1,44,0.1,240,24,0.5,0.7399999999999999,0.0008808790007606149,vertebral,A
MAD,0.1,45,0.1,240,24,1.0,0.9408695652173911,0.0008931140182539821,vertebral,A
MAD,0.1,46,0.1,240,24,1.0,0.8617391304347826,0.0008685950888320804,vertebral,A
MAD,0.1,47,0.1,240,24,1.0,0.8756521739130434,0.000842520035803318,vertebral,A
MAD,0.1,48,0.1,240,24,0.5,0.8852173913043477,0.0008314290316775441,vertebral,A
