method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
ThreeSigma,I,0.1,4,286048,28604,0.9890033164601152,0.9997950028134305,0.05558821198064834,0.040739806019701064,0.05558821198064834,0.11173938191495836,covertype
ThreeSigma,I,0.1,5,286048,28604,0.9865502183406114,0.9998354770934434,0.05828862497583032,0.03393407096154988,0.05828862497583032,0.1082926009548828,covertype
ThreeSigma,I,0.1,6,286048,28604,0.9919832694318578,0.9997341256661838,0.043430797988548875,0.02423233794979751,0.043430797988548875,0.08383110899012536,covertype
ThreeSigma,I,0.1,7,286048,28604,0.9785002621919245,0.9996065546798037,0.04990849900059402,0.01930816809181124,0.04990849900059402,0.08150205807760358,covertype
ThreeSigma,I,0.1,8,286048,28604,0.9807826694619147,0.9997311153760954,0.044374519027769566,0.018201280036009848,0.044374519027769566,0.07428687100764364,covertype
ThreeSigma,I,0.1,9,286048,28604,0.9820212951649503,0.999853266831448,0.04474761802703142,0.020218184916302562,0.04474761802703142,0.0778359220130369,covertype
BoxPlot,I,0.01,0,286048,2860,0.9545454545454546,0.966228403863462,0.42102503997739404,0.0059607840375974774,0.42102503997739404,0.4302339219721034,covertype
BoxPlot,I,0.01,1,286048,2860,0.9475524475524476,0.9482421874384325,0.47286550397984684,0.0033139620209112763,0.47286550397984684,0.4775912039913237,covertype
BoxPlot,I,0.01,2,286048,2860,0.9825174825174825,0.9823014264721179,0.4974245959892869,0.004004989983513951,0.4974245959892869,0.5036977629642934,covertype
BoxPlot,I,0.01,3,286048,2860,0.9548611111111112,0.9747722488094274,0.3693269769428298,0.005099072935990989,0.3693269769428298,0.3766644400311634,covertype
BoxPlot,I,0.01,4,286048,2860,0.9739130434782609,0.9814907700465992,0.26738440699409693,0.0039527579210698605,0.26738440699409693,0.2733485079370439,covertype
BoxPlot,I,0.01,5,286048,2860,0.958041958041958,0.9815888428308073,0.5546331229852512,0.006983375991694629,0.5546331229852512,0.5633638290455565,covertype
BoxPlot,I,0.01,6,286048,2860,0.9825783972125436,0.9729056814619106,0.30526029295288026,0.0033415249781683087,0.30526029295288026,0.3104593310272321,covertype
BoxPlot,I,0.01,7,286048,2860,0.9335664335664335,0.9659876429520273,0.353831251966767,0.007007968961261213,0.353831251966767,0.3625919088954106,covertype
