method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset,tier,method_class
ChiSquare,0.1,1,240,24,0.5,0.946086956521739,0.00010277098044753075,9.21539613045752e-05,3.6487996112555265e-05,0.001254325034096837,vertebral,T1,I
ChiSquare,0.1,2,240,24,0.5,0.8608695652173911,0.000104513019323349,7.775000995025039e-05,3.631802974268794e-05,0.0012281910167075694,vertebral,T1,I
ChiSquare,0.1,3,240,24,0.5,0.7339130434782607,0.00010453397408127785,8.263997733592987e-05,3.522698534652591e-05,0.0012158190365880728,vertebral,T1,I
ChiSquare,0.1,4,240,24,1.0,0.8869565217391304,0.0001259580021724105,7.798697333782911e-05,3.3742981031537056e-05,0.0021854069782420993,vertebral,T1,I
ChiSquare,0.1,5,240,24,1.0,0.9730434782608696,0.00011476600775495172,8.581398287788033e-05,3.892701352015138e-05,0.0012796130031347275,vertebral,T1,I
ChiSquare,0.1,6,240,24,1.0,0.9121739130434783,0.00010702700819820166,8.283602073788643e-05,3.678398206830025e-05,0.001181983039714396,vertebral,T1,I
ChiSquare,0.1,7,240,24,0.5,0.9678260869565216,8.48500058054924e-05,6.70839799568057e-05,3.008998464792967e-05,0.0009954149718396366,vertebral,T1,I
ChiSquare,0.1,8,240,24,1.0,0.9252173913043478,0.00010200700489804149,8.464895654469728e-05,3.7466990761458874e-05,0.0014593839878216386,vertebral,T1,I
ChiSquare,0.1,9,240,24,1.0,0.9852173913043477,0.00012087100185453892,7.995503256097436e-05,3.790302434936166e-05,0.0012411429779604077,vertebral,T1,I
ChiSquare,0.1,10,240,24,1.0,0.8095652173913043,0.00010000698966905475,7.836997974663973e-05,3.479002043604851e-05,0.0011467699659988284,vertebral,T1,I
ChiSquare,0.1,11,240,24,1.0,0.8547826086956521,9.807798778638244e-05,7.675797678530216e-05,3.5002012737095356e-05,0.0012223210069350898,vertebral,T1,I
ChiSquare,0.1,12,240,24,0.5,0.9356521739130433,0.00010623602429404855,0.0018166489899158478,3.577797906473279e-05,0.003086431010160595,vertebral,T1,I
ChiSquare,0.1,13,240,24,1.0,0.9217391304347825,0.00011754099978134036,7.098697824403644e-05,4.001503111794591e-05,0.0012521609896793962,vertebral,T1,I
ChiSquare,0.1,14,240,24,1.0,0.9808695652173912,0.00012234103633090854,8.983199950307608e-05,4.1416031308472157e-05,0.001251713023521006,vertebral,T1,I
ChiSquare,0.1,15,240,24,0.5,0.9426086956521739,0.00010686198947951198,7.896998431533575e-05,3.225298132747412e-05,0.001281670993193984,vertebral,T1,I
ChiSquare,0.1,16,240,24,1.0,0.9608695652173912,0.00011486303992569447,9.553099516779184e-05,4.1014980524778366e-05,0.0011659039882943034,vertebral,T1,I
ChiSquare,0.1,17,240,24,0.5,0.9399999999999998,9.322300320491195e-05,7.42949778214097e-05,3.321102121844888e-05,0.001089575991500169,vertebral,T1,I
