method,k,p,kp_inv_sqrt,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset
LOF,5,0.05,2.0,24,214,10,1.0,-0.25637521378709616,0.004772649961523712,0.02319569804240018,0.02912362606730312,glass
LOF,5,0.05,2.0,25,214,10,0.0,-0.18902790432892227,0.004717512056231499,0.014644822920672596,0.020478065009228885,glass
LOF,5,0.05,2.0,26,214,10,0.0,0.3497195779097138,0.005166727001778781,0.008007960976101458,0.014330324018374085,glass
LOF,5,0.05,2.0,27,214,10,1.0,0.6442202750968412,0.0047513339668512344,0.00809668202418834,0.014037656015716493,glass
LOF,5,0.05,2.0,28,214,10,0.0,0.1945297739776207,0.004998198011890054,0.010553564061410725,0.01671663799788803,glass
LOF,5,0.05,2.0,29,214,10,0.0,0.04377137796365056,0.004848018987104297,0.014648944023065269,0.020695938961580396,glass
LOF,5,0.1,1.414213562373095,0,214,21,1.0,0.4194805194805195,0.0050656209932640195,0.0027704540407285094,0.008988881949335337,glass
LOF,5,0.1,1.414213562373095,1,214,21,1.0,0.43599749294972245,0.004675430012866855,0.0024509810609743,0.00817708601243794,glass
LOF,5,0.1,1.414213562373095,2,214,21,0.5,0.6289799898291077,0.004511027014814317,0.002534479950554669,0.008104998036287725,glass
LOF,5,0.1,1.414213562373095,3,214,21,1.0,0.3223920934308617,0.005115367006510496,0.0024309720611199737,0.008608137024566531,glass
LOF,5,0.1,1.414213562373095,4,214,21,0.5,0.34059164709228135,0.004774500033818185,0.0026045578997582197,0.00851091102231294,glass
LOF,5,0.1,1.414213562373095,5,214,21,0.5,0.2747645484310238,0.004722979967482388,0.002660792088136077,0.008559260051697493,glass
LOF,5,0.1,1.414213562373095,6,214,21,0.0,0.5878532300947436,0.004695627023465931,0.002535517909564078,0.008351622964255512,glass
LOF,5,0.1,1.414213562373095,7,214,21,0.0,-0.14420267080777138,0.004674285999499261,0.0027438770048320293,0.008687658002600074,glass
LOF,5,0.1,1.414213562373095,8,214,21,0.5,0.11818181818181818,0.004826352000236511,0.0024246230022981763,0.008336037979461253,glass
