,I,II,III,IV
I,1.0,7.255405707593404e-45,1.309068836365063e-98,0.0
II,7.255405707593404e-45,1.0,7.763485049242378e-15,1.6581112357021988e-211
III,1.309068836365063e-98,7.763485049242378e-15,1.0,5.064160709042509e-68
IV,0.0,1.6581112357021988e-211,5.064160709042509e-68,1.0
